序号,电脑时间戳,接收时间戳,发送时间戳,时延（毫秒）,纬度,经度,海拔,速度（km/h）,锁星数,地面航向(度）,ID,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Type,Label
115,1699941111,1699941108,1699941108,-237.865,116.491697,39.729191,22.6,8.871,46,58.5,,111,99,114,3619,8000001,7,8,-122,-92,1,0,5,-122,55140,47,4264,SPAT,normal
116,1699941111,1699941108,1699941108,-237.16,116.4917,39.729192,22.7,8.816,46,57.11,696E636830303000,112,100,114,3619,8000001,7,8,-117,-89,5,0,5,-117,55140,47,4264,SPAT,normal
118,1699941111,1699941108,1699941108,-241.474,116.491702,39.729193,22.7,8.816,46,57.11,,113,101,114,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,SPAT,normal
119,1699941111,1699941108,1699941109,-237.549,116.491705,39.729195,22.7,8.816,46,57.11,696E636830303000,114,102,114,3619,8000001,7,8,-118,-89,5,2,5,-118,55140,47,4264,SPAT,normal
120,1699941111,1699941108,1699941109,-238.889,116.491707,39.729196,22.7,8.816,46,57.11,696E636830303000,115,103,114,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,SPAT,normal
121,1699941112,1699941108,1699941109,-237.947,116.49171,39.729197,22.7,8.816,46,57.11,696E636830303000,116,104,114,3619,8000001,7,8,-119,-90,4,0,5,-119,55140,47,4264,SPAT,normal
122,1699941112,1699941109,1699941109,-241.098,116.491711,39.729198,22.6,8.871,46,58.5,,117,105,114,3619,8000001,7,8,-117,-88,5,0,5,-117,55140,47,4264,SPAT,normal
123,1699941112,1699941109,1699941109,-233.472,116.491713,39.729199,22.7,8.853,45,56.41,696E636830303000,118,106,114,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,SPAT,normal
125,1699941112,1699941109,1699941109,-241.812,116.491716,39.7292,22.7,8.853,45,56.41,,119,107,114,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,SPAT,normal
126,1699941112,1699941109,1699941109,-237.401,116.491718,39.729202,22.6,8.871,46,58.5,696E636830303000,120,108,114,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,SPAT,normal
128,1699941112,1699941109,1699941109,-236.207,116.491722,39.729203,22.6,8.871,46,58.5,696E636830303000,121,109,114,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,SPAT,normal
129,1699941112,1699941109,1699941109,-236.68,116.491725,39.729205,22.6,8.871,46,58.5,,122,110,114,3619,8000001,7,8,-116,-88,6,0,5,-116,55140,47,4264,SPAT,normal
130,1699941112,1699941109,1699941109,-236.569,116.491726,39.729205,22.6,8.871,46,58.5,,123,111,114,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
131,1699941112,1699941109,1699941109,-237.115,116.491728,39.729207,22.7,8.853,45,56.41,696E636830303000,124,112,114,3619,8000001,7,8,-118,-89,4,0,5,-118,55140,47,4264,SPAT,normal
133,1699941112,1699941109,1699941110,-236.388,116.491731,39.729208,22.6,8.871,46,58.5,696E636830303000,125,113,114,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,SPAT,normal
134,1699941113,1699941109,1699941110,-236.766,116.491734,39.72921,22.6,8.871,46,58.5,696E636830303000,126,114,114,3619,8000001,7,8,-119,-90,3,2,5,-119,55140,47,4264,SPAT,normal
135,1699941113,1699941110,1699941110,-240.061,116.491735,39.72921,22.7,8.908,46,56.79,,127,115,114,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,SPAT,normal
136,1699941113,1699941110,1699941110,-236.612,116.491737,39.729211,22.7,8.853,45,56.41,696E636830303000,1,116,115,3619,8000001,7,8,-113,-86,8,0,5,-113,55140,47,4264,SPAT,normal
137,1699941113,1699941110,1699941110,-240.586,116.491739,39.729212,22.7,8.908,46,56.79,,2,117,115,3619,8000001,7,8,-116,-87,6,1,5,-116,55140,47,4264,SPAT,normal
138,1699941113,1699941110,1699941110,-235.965,116.491741,39.729213,22.7,8.853,45,56.41,696E636830303000,3,118,115,3619,8000001,7,8,-117,-89,4,1,5,-117,55140,47,4264,SPAT,normal
141,1699941113,1699941110,1699941110,-231.565,116.491744,39.729214,22.7,8.853,45,56.41,696E636830303000,4,119,115,3619,8000001,7,8,-115,-87,6,0,5,-115,55140,47,4264,SPAT,normal
142,1699941113,1699941110,1699941110,-233.54,116.491747,39.729216,22.7,8.853,45,56.41,696E636830303000,5,120,115,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,SPAT,normal
143,1699941113,1699941110,1699941110,-239.751,116.491749,39.729216,22.7,8.908,46,56.79,,6,121,115,3619,8000001,7,8,-115,-87,7,1,5,-115,55140,47,4264,SPAT,normal
144,1699941113,1699941110,1699941111,-236.331,116.491752,39.729218,22.7,8.853,45,56.41,696E636830303000,7,122,115,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,SPAT,normal
145,1699941113,1699941110,1699941111,-236.252,116.491754,39.729219,22.7,8.853,45,56.41,,8,123,115,3619,8000001,7,8,-116,-88,5,1,5,-116,55140,47,4264,SPAT,normal
146,1699941114,1699941110,1699941111,-242.95,116.491756,39.72922,22.7,8.853,45,56.41,696E636830303000,9,124,115,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,SPAT,normal
148,1699941114,1699941111,1699941111,-239.153,116.491759,39.729221,22.7,8.853,45,56.41,696E636830303000,10,125,115,3619,8000001,7,8,-116,-87,6,1,5,-116,55140,47,4264,SPAT,normal
149,1699941114,1699941111,1699941111,-223.622,116.491763,39.729223,22.7,8.908,46,56.79,696E636830303000,12,126,116,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,SPAT,normal
150,1699941114,1699941111,1699941111,-243.287,116.491765,39.729224,22.7,8.908,46,56.79,696E636830303000,13,127,116,3619,8000001,7,8,-116,-88,6,1,5,-116,55140,47,4264,SPAT,normal
151,1699941114,1699941111,1699941111,-234.359,116.491768,39.729226,22.7,8.908,46,56.79,696E636830303000,14,128,116,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,SPAT,normal
152,1699941114,1699941111,1699941111,-230.961,116.491771,39.729228,22.7,8.908,46,56.79,,15,129,116,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,SPAT,normal
154,1699941114,1699941111,1699941111,-234.772,116.491774,39.72923,22.7,8.908,46,56.79,696E636830303000,16,130,116,3619,8000001,7,8,-115,-87,7,1,5,-115,55140,47,4264,SPAT,normal
155,1699941114,1699941111,1699941112,-236.278,116.491778,39.729232,22.7,8.908,46,56.79,,17,131,116,3619,8000001,7,8,-113,-85,9,1,5,-113,55140,47,4264,SPAT,normal
156,1699941114,1699941111,1699941112,-241.43,116.49178,39.729233,22.7,8.908,46,56.79,696E636830303000,18,132,116,3619,8000001,7,8,-113,-85,9,1,5,-113,55140,47,4264,SPAT,normal
157,1699941115,1699941111,1699941112,-242.711,116.491782,39.729234,22.7,8.908,46,56.79,696E636830303000,19,133,116,3619,8000001,7,8,-111,-83,11,1,5,-111,55140,47,4264,SPAT,normal
158,1699941115,1699941112,1699941112,-239.911,116.491784,39.729235,22.7,8.89,46,56.06,696E636830303000,20,134,116,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,SPAT,normal
159,1699941115,1699941112,1699941112,-222.968,116.491788,39.729237,22.7,8.89,46,56.06,696E636830303000,22,135,117,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,SPAT,normal
160,1699941115,1699941112,1699941112,-241.924,116.491789,39.729238,22.7,8.89,46,56.06,696E636830303000,23,136,117,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,SPAT,normal
161,1699941115,1699941112,1699941112,-228.369,116.491792,39.729239,22.7,8.945,46,57.55,696E636830303000,24,137,117,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
162,1699941115,1699941112,1699941112,-234.795,116.491794,39.72924,22.7,8.89,46,56.06,696E636830303000,25,138,117,3619,8000001,7,8,-116,-88,6,1,5,-116,55140,47,4264,SPAT,normal
163,1699941115,1699941112,1699941112,-237.905,116.491796,39.729241,22.7,8.89,46,56.06,696E636830303000,26,139,117,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,SPAT,normal
164,1699941115,1699941112,1699941113,-239.835,116.491798,39.729243,22.7,8.89,46,56.06,696E636830303000,27,140,117,3619,8000001,7,8,-112,-84,10,1,5,-112,55140,47,4264,SPAT,normal
165,1699941115,1699941112,1699941113,-241.898,116.491801,39.729244,22.7,8.89,46,56.06,696E636830303000,28,141,117,3619,8000001,7,8,-116,-88,6,1,5,-116,55140,47,4264,SPAT,normal
166,1699941116,1699941112,1699941113,-242.699,116.491803,39.729245,22.7,8.89,46,56.06,696E636830303000,29,142,117,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
167,1699941116,1699941113,1699941113,-239.037,116.491806,39.729246,22.7,8.89,46,56.06,696E636830303000,30,143,117,3619,8000001,7,8,-115,-87,7,1,5,-115,55140,47,4264,SPAT,normal
168,1699941116,1699941113,1699941113,-241.844,116.491808,39.729247,22.7,8.945,46,57.55,,31,144,117,3619,8000001,7,8,-111,-83,11,1,5,-111,55140,47,4264,SPAT,normal
169,1699941116,1699941113,1699941113,-238.052,116.49181,39.729249,22.7,8.945,46,57.55,696E636830303000,32,145,117,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,SPAT,normal
170,1699941116,1699941113,1699941113,-237.152,116.491812,39.729249,22.7,8.945,46,57.55,696E636830303000,33,146,117,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,SPAT,normal
172,1699941116,1699941113,1699941113,-237.525,116.491814,39.729251,22.7,8.945,46,57.55,696E636830303000,34,147,117,3619,8000001,7,8,-118,-89,4,2,5,-118,55140,47,4264,SPAT,normal
174,1699941116,1699941113,1699941113,-237.564,116.491818,39.729253,22.7,8.945,46,57.55,696E636830303000,35,148,117,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,SPAT,normal
175,1699941116,1699941113,1699941113,-232.766,116.49182,39.729254,22.7,8.945,46,57.55,696E636830303000,36,149,117,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,SPAT,normal
176,1699941116,1699941113,1699941114,-233.522,116.491823,39.729255,22.7,8.945,46,57.55,,37,150,117,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,SPAT,normal
177,1699941116,1699941113,1699941114,-232.366,116.491825,39.729257,22.7,8.945,46,57.55,696E636830303000,38,151,117,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,SPAT,normal
178,1699941117,1699941113,1699941114,-240.407,116.491828,39.729258,22.7,8.945,46,57.55,696E636830303000,39,152,117,3619,8000001,7,8,-119,-90,3,2,5,-119,55140,47,4264,SPAT,normal
